case_name,gt_instances,pred_instances,true_positives,false_positives,false_negatives,recognition_quality_f1,global_dice_bin,mean_iou,std_iou,mean_dice,std_dice,mean_assd,std_assd,mean_rvd,std_rvd
case_00535,2,3,0,0,0,0.8,0.9629268323187223,0.840206039377891,0.062295342479852245,0.9119182563644294,0.03683414977203725,1.85437844053496,0.38592705444937114,-0.03024492194223086,0.07295465065660567
case_00536,2,3,0,0,0,0.8,0.9538150906404085,0.7543855457006701,0.13572188627016546,0.8531359749750342,0.08872311400035898,1.1017441913829078,0.5431306194871016,-0.10011846121723417,0.11761295990401746
case_00537,2,2,0,0,0,1.0,0.9577431680443126,0.9112472187784793,0.0,0.9535628984311906,0.0,0.8109501545608697,0.0,0.041435919022375395,0.0
case_00538,3,3,0,0,0,1.0,0.4511445470375918,,,,,,,,
case_00539,2,3,0,0,0,0.8,0.6577719322651221,,,,,,,,
case_00540,3,1,0,0,0,0.5,0.008310937725762173,,,,,,,,
case_00541,2,1,0,0,0,0.6666666666666666,0.8273236810458147,0.6930258801955451,0.0,0.8186831498588791,0.0,2.995484414876698,0.0,-0.24485163853391848,0.0
case_00542,3,3,0,0,0,1.0,0.9230317111426108,0.6765224582773892,0.032959866101837654,0.8065931991049333,0.023461975214420727,3.522294663075849,0.5002068865949667,-0.09084718793365387,0.06945886826152273
case_00543,3,3,0,0,0,1.0,0.6815777848422669,,,,,,,,
case_00544,3,3,0,0,0,1.0,0.9367934747916093,0.8701304219315746,0.0,0.9305558711064179,0.0,1.056897379495504,0.0,-0.04583227968442652,0.0
case_00545,2,3,0,0,0,0.8,0.8284438006466287,,,,,,,,
case_00546,2,3,0,0,0,0.8,0.8737728072881273,0.7782410831363403,0.0,0.8752931090352853,0.0,1.1506001022968488,0.0,-0.04676278712789869,0.0
case_00547,2,3,0,0,0,0.8,0.9230997151508757,0.8213519289952161,0.0,0.9019145788571797,0.0,1.3288505209898658,0.0,-0.07884865264443496,0.0
case_00548,3,2,0,0,0,0.8,0.9799425409661631,0.9487935616806522,0.0,0.9737240314591418,0.0,0.2880650695267403,0.0,0.03287178368948975,0.0
case_00549,3,3,0,0,0,1.0,0.8092644303192857,0.6805481488663726,0.0,0.8099121103140566,0.0,1.4743846793437034,0.0,-0.26764727929968934,0.0
case_00550,3,3,0,0,0,1.0,0.9380187138671333,0.8718825355927724,0.0,0.9315568888692813,0.0,0.7069904889475565,0.0,-0.07292729374957492,0.0
case_00551,3,3,0,0,0,1.0,0.8434431724505147,0.572298176627811,0.0,0.7279766460777158,0.0,1.7835011972035504,0.0,-0.04797340730488363,0.0
case_00552,2,3,0,0,0,0.8,0.941635438270885,0.7456600463738917,0.0,0.8543015553604342,0.0,3.9602299023561987,0.0,0.22727046087876657,0.0
case_00553,3,3,0,0,0,1.0,0.8569737429071829,0.6412823671675855,0.0,0.781440634464705,0.0,4.0850169253631945,0.0,-0.24925149700598803,0.0
case_00554,3,1,0,0,0,0.5,0.06756787253729322,,,,,,,,
case_00555,3,3,0,0,0,1.0,0.9544328954519304,0.9126988196216993,0.0,0.9543570689317582,0.0,1.1420517422351582,0.0,0.01500199619548625,0.0
case_00556,2,3,0,0,0,0.8,0.4033235537330509,0.5607922475984002,0.0,0.7185994785164962,0.0,2.538986254970867,0.0,-0.29172164094381886,0.0
case_00557,2,1,0,0,0,0.6666666666666666,0.8378181488765,0.7326265960594245,0.0,0.8456831930499782,0.0,2.393414433796067,0.0,-0.24767850778985873,0.0
case_00558,3,3,0,0,0,1.0,0.49417656404371507,,,,,,,,
case_00559,2,3,0,0,0,0.8,0.9533880087114696,0.808379586357693,0.09896858874847769,0.8907150528261543,0.06070869554706976,1.94046204210282,0.5400316983880638,0.10825649655136325,0.06020228481064392
case_00560,2,1,0,0,0,0.6666666666666666,0.009001903311762467,,,,,,,,
case_00561,2,3,0,0,0,0.8,0.7904157491449478,0.680222397575605,0.0,0.8096813833181831,0.0,4.370705807701132,0.0,-0.24016634356825714,0.0
case_00562,3,2,0,0,0,0.8,0.9224437661839607,0.8285490712903093,0.0,0.9062366269510574,0.0,1.472405651768545,0.0,-0.06253272822482109,0.0
case_00563,3,3,0,0,0,1.0,0.9645202634899502,0.8563287263820853,0.0,0.9226046165336651,0.0,1.1477271793536503,0.0,0.014050822122571001,0.0
case_00564,3,1,0,0,0,0.5,0.8691403100637531,0.765105366672497,0.0,0.8669231663091498,0.0,2.5890251669216298,0.0,-0.18447016614701234,0.0
case_00565,3,3,0,0,0,1.0,0.5400212613386831,,,,,,,,
case_00566,3,2,0,0,0,0.8,0.7753139160174336,0.6208310137152689,0.0,0.7660650721288953,0.0,3.521678618774715,0.0,-0.28417742203363494,0.0
